ANT1,20.35,1.65,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,10.60,3.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-19.45,7.60,180.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,10.60,2.10,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,10.60,3.00,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,8.45,4.40,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,7.55,4.60,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,3.45,4.90,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,5.70,4.50,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C16,5.45,5.30,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,2.50,2.55,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,2.60,1.45,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-1.40,0.40,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,9.40,5.15,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-6.80,-1.40,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,2.00,-2.60,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,3.20,-3.50,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,16.65,1.40,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-13.30,13.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C24,-13.60,14.10,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,-9.45,13.60,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,-5.25,7.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C29,-13.00,-12.40,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,14.05,1.40,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,10.10,-12.30,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-3.30,-14.00,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,-9.00,-11.80,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-9.45,14.50,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-8.70,-9.25,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C37,-7.60,16.45,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,-6.70,13.85,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,-7.60,14.65,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,17.45,1.40,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,2.65,8.75,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C43,2.90,9.60,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,2.55,3.65,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,1.50,-0.75,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,6.80,-3.65,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,9.45,-3.40,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,10.55,0.25,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-8.30,-4.65,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-0.05,8.75,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-8.30,0.40,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-6.30,-4.65,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-11.05,3.30,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,-10.15,-5.45,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
